업체명,보충역편입인원,보충역복무인원
(주)팀엘리시움,6,7
(주)하이퍼리즘,5,5
(주)하이퍼커넥트,5,10
(주)아이티엘,4,3
(주)파모즈,4,4
(주)플레이오토,4,9
(주)헤렌,4,4
심심이(주),4,8
에이비일팔공,4,8
주식회사아이아라,4,6
주식회사팬덤,4,5
탱커펀드(주),4,4
(주)피플펀드컴퍼니,3,3
(주)개미집소프트,3,5
(주)마켓디자이너스,3,3
주식회사선도소프트,3,5
(주)구름네트웍스,2,3
(주)뤼이드,2,4
(주)빙글,2,3
(주)센드버드코리아,2,2
(주)이스트시큐리티,2,3
(주)토이스미스,2,4
(주)히든트랙,2,2
나인파이브,2,4
데브시스터즈(주),2,5
리얼리티리플렉션(주),2,5
주식회사디앤디랩,2,2
주식회사웰비아닷컴,2,4
탄젠트,2,2
투브플러스 주식회사,2,2
퓨렌스(주),2,2
(주)나고소프트,1,1
(주)니어스랩,1,1
(주)두두아이티,1,1
(주)드림에이스,1,1
(주)리스트,1,1
(주)매트릭스투비,1,1
(주)미디어솔루션,1,5
(주)부동산뱅크,1,1
(주)뷰노,1,1
(주)브링프라이스,1,1
(주)비케이에스엔피,1,2
(주)스콜,1,1
(주)시큐어가드테크놀러지,1,1
(주)에이비씨솔루션,1,1
(주)에이블리코퍼레이션,1,3
(주)에이팀벤처스,1,1
(주)엠더블유스토리,1,1
(주)위즈코리아,1,4
(주)위즈더플래닝,1,2
(주)이십일세기소프트,1,1
(주)인벤티스,1,1
(주)이스트소프트,1,2
(주)인스웨이브시스템즈,1,2
(주)인포웍스,1,1
(주)인포바인,1,1
(주)캐스트이즈,1,1
(주)투비원솔루션즈,1,1
(주)투믹스,1,1
(주)트루데이타,1,1
(주)파이낸셜데이타시스템,1,1
(주)펍지랩스,1,3
(주)플라이셔,1,1
(주)피어스넷,1,1
(주)훌리악,1,1
(주)휴마트컴퍼니,1,1
데이코어주식회사,1,2
디비비전(주),1,1
디앤에스에버 주식회사,1,1
리디(주),1,5
매스프레소,1,1
마크애니,1,1
매드오카,1,1
무브 주식회사,1,5
브이엠솔루션(주),1,1
브이씨엔씨(주),1,2
슈가힐,1,2
슈어엠(주),1,2
씨엔티테크(주),1,1
에스엘지주식회사,1,2
에어포스,1,1
에이엔제이솔루션,1,1
온오프믹스,1,1
주식회사 레이니스트,1,1
주식회사 직방,1,5
주식회사 코스코이,1,1
주식회사넥스트매치,1,1
주식회사모프인터랙티브,1,1
주식회사모비데이즈,1,1
주식회사로플랫,1,1
주식회사렌딧,1,2
주식회사봉봉,1,5
주식회사버즈니,1,6
주식회사스캐터랩,1,1
주식회사셀메이트,1,3
주식회사와탭랩스,1,1
주식회사엠시큐어,1,1
주식회사지니웍스,1,0
주식회사스타일쉐어,1,2
주식회사케어랩스,1,4
주식회사헬프미,1,2
코인원,1,3
크리니티(주),1,1
크로키닷컴(주),1,2
테이블매니저(주),1,3
펜타시큐리티시스템(주),1,3
(유)아키텍트그룹,0,0
(주) 드라마앤컴퍼니,0,1
(주)그리드원,0,0
(주)그루기술,0,0
(주)가온아이,0,0
(주)골드넥스,0,0
(주)노드,0,0
(주)넷스루,0,0
(주)넷사랑컴퓨터,0,1
(주)넥솔시스템,0,2
(주)뉴데이소프트,0,0
(주)누리미디어,0,0
(주)누리고,0,1
(주)다비오,0,0
(주)다하미커뮤니케이션즈,0,2
(주)다임즈,0,0
(주)더커머스,0,1
(주)더브릿지소프트,0,0
(주)도움이티에스,0,0
(주)도전하는사람들,0,2
(주)두루안,0,0
(주)디스트릭트홀딩스,0,1
(주)디지탈쉽,0,0
(주)라톤테크,0,0
(주)레티그리드,0,0
(주)라이프사이언스테크놀로지,0,1
(주)로앤컴퍼니,0,0
(주)루나소프트,0,0
(주)로우코리아,0,0
(주)리눅스데이타시스템,0,0
(주)룰루랩,0,0
(주)리치웨어시스템즈,0,0
(주)마이리얼트립,0,1
(주)링크샵스,0,0
(주)망고플레이트,0,0
(주)매그넘빈트,0,1
(주)메인라인,0,0
(주)메쉬코리아,0,1
(주)모니터랩,0,0
(주)모티프,0,0
(주)미라지웍스,0,0
(주)모젯,0,0
(주)미리디,0,0
(주)브렉스랩,0,0
(주)블리엔,0,1
(주)블루커뮤니케이션,0,0
(주)비바리퍼블리카,0,4
(주)비케이아이티,0,0
(주)비주얼,0,0
(주)비전인사이드,0,0
(주)비욘드테크,0,0
(주)비오시스템즈,0,2
(주)사이버텔브릿지,0,0
(주)빛컨,0,0
(주)세넷시스템즈,0,0
(주)소프트보울,0,0
(주)셈웨어,0,0
(주)센티널테크놀로지,0,0
(주)수도프리미엄엔지니어링,0,0
(주)스윙크,0,1
(주)스윗코리아,0,1
(주)스카이컴,0,0
(주)스포카 서울지점,0,0
(주)시스원,0,3
(주)시너젠,0,0
(주)시큐브,0,0
(주)시큐레이어,0,0
(주)싸이크로스,0,0
(주)써티웨어,0,0
(주)써브나라,0,0
(주)아스템즈,0,0
(주)아이오시스템,0,0
(주)아이엔티매니지먼트,0,0
(주)아이퀘스트,0,0
(주)아이지에이웍스,0,2
(주)아이젝스,0,0
(주)아카온,0,1
(주)아침소프트,0,0
(주)아틀라스랩스,0,0
(주)아톤,0,0
(주)알엠소프트,0,0
(주)어니언소프트웨어,0,0
(주)업루트,0,1
(주)어빌리티시스템즈,0,0
(주)에스이웍스,0,0
(주)에스제이링크,0,0
(주)에이블스토어,0,0
(주)에잇퍼센트,0,1
(주)에프앤가이드,0,0
(주)에코앤컴퍼니,0,0
(주)엑스오비스,0,0
(주)에프원시큐리티,0,1
(주)에이티앤에스그룹,0,0
(주)엑스엔(XN)시스템즈,0,0
(주)엑스블록시스템즈,0,0
(주)엔티시스,0,0
(주)엔씨지글로벌,0,0
(주)엔지스테크널러지,0,0
(주)엠그램,0,1
(주)엠앤와이즈,0,0
(주)엠엠벤처스,0,0
(주)엠엘소프트,0,0
(주)여행노트앤투어,0,0
(주)영우씨엔아이,0,0
(주)오너클랜,0,0
(주)오제이월드,0,0
(주)오엠인터랙티브,0,0
(주)오픈놀,0,0
(주)와그트래블,0,1
(주)온피아,0,0
(주)온라인투어,0,0
(주)왓챠,0,1
(주)오토브레인,0,1
(주)와치텍,0,0
(주)우아한형제들,0,1
(주)우신인포텍,0,0
(주)위니웍스,0,2
(주)웨딩북,0,0
(주)웨인테크놀로지,0,0
(주)위시켓,0,2
(주)웹티즌,0,0
(주)위우너스,0,0
(주)윌비솔루션,0,0
(주)유니온아일랜드,0,0
(주)유라이크코리아,0,0
(주)유디테크,0,0
(주)유비스티,0,0
(주)유플렉스소프트,0,0
(주)유프리즘,0,1
(주)이노지에스코리아,0,0
(주)이씨오,0,0
(주)이스트몹,0,0
(주)이피피엔,0,1
(주)이지식스,0,0
(주)이즈파크,0,0
(주)이음소시어스,0,0
(주)인픽스,0,0
(주)인피니그루,0,0
(주)자이닉스,0,0
(주)자비스앤빌런즈,0,0
(주)잉카인터넷,0,1
(주)제이니스,0,0
(주)제스아이앤씨,0,0
(주)제너시스템,0,1
(주)조이코퍼레이션,0,3
(주)조은아이앤에스,0,0
(주)좋을,0,0
(주)지오소프트,0,0
(주)지인시스템,0,0
(주)지오피아,0,1
(주)청심아이티,0,0
(주)천명소프트,0,0
(주)컴트루테크놀로지,0,6
(주)케이스마텍,0,0
(주)케이비시스,0,0
(주)케이원정보통신,0,1
(주)코리아퍼스텍,0,0
(주)코드엠,0,0
(주)코드스테이츠,0,0
(주)코글플래닛,0,1
(주)코비젼,0,0
(주)코에버정보기술,0,0
(주)큐브피아,0,2
(주)콘텐츠브릿지,0,0
(주)콘버스,0,0
(주)크몽,0,0
(주)타운컴퍼니,0,0
(주)키클롭스,0,0
(주)테크엔펀,0,0
(주)티라유텍,0,0
(주)티엔씨테크날로지,0,0
(주)팀부스터,0,0
(주)파티게임즈,0,0
(주)포스윈,0,0
(주)폴리큐브,0,0
(주)포티투마루,0,0
(주)포시에스,0,1
(주)포잉,0,0
(주)포인트파크,0,0
(주)푸드테크,0,0
(주)퓨쳐위즈,0,0
(주)피씨엔,0,0
(주)플래닛텍,0,0
(주)피알앤디컴퍼니,0,0
(주)핑거,0,0
(주)필라웨어,0,3
(주)피플벤처스,0,0
(주)피플커넥트,0,2
(주)하이컴텍,0,1
(주)한류에이아이센터,0,0
(주)핸디커뮤니케이션즈,0,4
(주)헬로월드,0,4
(주)휴먼플러스,0,0
(주)휴레이포지티브,0,0
(주)휴메카정보통신,0,1
(주)휴엔시스템,0,0
구우정보기술주식회사,0,0
그로비스인포텍,0,0
네오그라프,0,0
다손테크(주)(지점),0,0
데이터클립,0,0
동양네트웍스(주),0,0
두나무(주),0,5
라온화이트햇,0,0
라온시큐어(주),0,1
로완,0,0
메타빌드(주),0,0
모디엠,0,0
무한비트,0,0
미림미디어랩(주),0,0
벌키트리,0,0
번개장터(주),0,0
보맵주식회사,0,0
비디에스인포컴(주),0,0
비비트리주식회사,0,0
비브이에스(주),0,0
비브로스,0,1
비트파인더코리아,0,4
사이버씨브이에스(주),0,1
삼미정보시스템(주),0,1
삼정데이타서비스(주),0,2
서울이동통신(주),0,0
서울시스템(주),0,0
세기정보통신(주),0,0
솔트웨어(주),0,0
쉐이커미디어 주식회사,0,0
쇼다운주식회사,0,0
슈어소프트테크,0,0
슬로워크,0,0
시지온,0,0
스탠다드네트웍스주식회사,0,0
씨엠티정보통신(주),0,0
아미스테크놀로지(주),0,1
아이알링크(주),0,0
아틀라스네트웍스,0,1
아이엠씨큐브,0,0
앤서시스템,0,0
애딧 주식회사,0,0
양재미디어(주),0,0
에스엔비플러스,0,1
에이케이티공간정보,0,0
엔시온,0,1
에프엔에스벨류,0,0
엘에스웨어(주),0,0
엑세스(주),0,0
엠아이큐브솔루션주식회사,0,0
오드원게임즈,0,0
웹케시(주),0,0
유니원아이앤씨(주),0,1
이글루시큐리티,0,0
이비즈네트웍스,0,1
이디엄,0,0
유플리트주식회사,0,0
이쓰리,0,0
인브레인,0,0
인프라소프트(주),0,0
인프라닉스(주),0,0
인포보스(주),0,0
정보와기술(주),0,0
제플린엑스,0,0
주식회사 5민랩,0,1
주식회사 마켓잇(Marketit Inc.),0,0
주식회사 버킷플레이스,0,0
