업체명,현역배정인원,현역편입인원,현역복무인원,보충역편입인원,보충역복무인원
(주)팀엘리시움,3,1,1,6,7
(주)플레이오토,2,1,5,5,9
(주)하이퍼커넥트,2,2,15,5,15
(주)하이퍼리즘,1,1,2,5,5
에이비일팔공,1,0,5,5,8
(주)아이티엘,1,1,1,4,3
(주)파모즈,1,1,1,4,4
(주)헤렌,3,2,2,4,4
심심이(주),1,1,2,4,6
주식회사아이아라,2,2,4,4,5
주식회사팬덤,2,1,3,4,4
탱커펀드(주),5,3,4,4,4
(주)구름네트웍스,0,0,1,3,4
(주)개미집소프트,0,0,0,3,4
(주)마켓디자이너스,0,0,0,3,3
(주)뤼이드,2,2,6,3,5
(주)피플펀드컴퍼니,3,1,1,3,3
펜타시큐리티시스템(주),2,0,2,3,5
(주)빙글,2,0,1,2,3
(주)센드버드코리아,1,1,3,2,3
(주)오픈오브젝트,0,0,0,2,2
(주)이스트시큐리티,0,0,0,2,3
(주)토이스미스,0,0,1,2,4
(주)휴마트컴퍼니,1,1,1,2,3
(주)히든트랙,0,0,0,2,2
나인파이브,1,1,0,2,4
데브시스터즈(주),4,4,11,2,5
라온화이트햇,0,0,0,2,2
리얼리티리플렉션(주),0,0,0,2,5
슈어엠(주),0,0,0,2,3
에스엔비플러스,1,0,0,2,3
주식회사웰비아닷컴,0,0,0,2,4
주식회사디앤디랩,3,1,4,2,2
주식회사집토스,0,0,0,2,2
주식회사선도소프트,0,0,2,2,4
탄젠트,0,0,0,2,2
투브플러스 주식회사,0,0,1,2,2
퓨렌스(주),0,0,0,2,2
(주) 드라마앤컴퍼니,1,1,3,1,2
(주)그리드원,1,0,0,1,1
(주)나고소프트,0,0,0,1,1
(주)니어스랩,2,2,3,1,1
(주)다하미커뮤니케이션즈,0,0,0,1,2
(주)더커머스,1,1,1,1,2
(주)두두아이티,0,0,0,1,1
(주)드림에이스,1,1,2,1,1
(주)띵스플로우,0,0,0,1,1
(주)레티널,0,0,0,1,1
(주)리스트,1,1,1,1,1
(주)링크샵스,0,0,0,1,1
(주)매트릭스투비,0,0,0,1,1
(주)미디어솔루션,0,0,0,1,4
(주)부동산뱅크,0,0,0,1,1
(주)뷰노,0,0,0,1,1
(주)비케이에스엔피,0,0,0,1,1
(주)셈웨어,1,1,1,1,1
(주)수도프리미엄엔지니어링,0,0,0,1,1
(주)스틸리언,0,0,0,1,1
(주)스콜,0,0,0,1,1
(주)시큐어가드테크놀러지,1,2,2,1,1
(주)에이비씨솔루션,0,0,0,1,1
(주)에이블리코퍼레이션,1,0,4,1,2
(주)에이아이트릭스,0,0,0,1,1
(주)에이팀벤처스,2,2,2,1,1
(주)엠더블유스토리,0,0,1,1,1
(주)위즈코리아,1,0,2,1,3
(주)위즈더플래닝,0,0,0,1,2
(주)유플렉스소프트,0,0,0,1,1
(주)이십일세기소프트,1,1,1,1,1
(주)이스트소프트,1,0,0,1,1
(주)인벤티스,0,0,1,1,1
(주)인스웨이브시스템즈,0,0,0,1,2
(주)인포웍스,1,1,1,1,1
(주)인포바인,0,0,1,1,1
(주)캐스트이즈,1,1,1,1,1
(주)테르텐,0,0,0,1,1
(주)트루데이타,1,1,1,1,1
(주)투비원솔루션즈,0,0,0,1,1
(주)파이낸셜데이타시스템,0,0,0,1,1
(주)펍지랩스,0,0,4,1,3
(주)퓨쳐위즈,0,0,0,1,1
(주)플라이셔,1,1,1,1,1
(주)피어스넷,0,0,1,1,1
(주)핸디커뮤니케이션즈,0,0,1,1,4
(주)훌리악,0,2,2,1,1
데이코어주식회사,0,0,1,1,2
디앤에스에버 주식회사,1,1,1,1,1
디비비전(주),0,0,0,1,1
리디(주),1,0,6,1,5
로완,0,0,0,1,1
마크애니,1,1,1,1,1
매드오카,1,1,1,1,1
마피아컴퍼니,0,0,0,1,1
메타빌드(주),0,0,0,1,1
무브 주식회사,0,0,0,1,4
브이엠솔루션(주),1,1,1,1,1
삼정데이타서비스(주),4,1,5,1,3
브이씨엔씨(주),2,0,5,1,2
블록웨어,0,0,0,1,1
씨엔티테크(주),0,0,0,1,1
아미스테크놀로지(주),2,1,2,1,2
아이알링크(주),0,1,3,1,1
에스엘지주식회사,1,1,2,1,2
에이엔제이솔루션,1,1,1,1,1
에어포스,2,1,1,1,0
온오프믹스,0,0,1,1,1
주식회사 레이니스트,0,1,6,1,1
주식회사 직방,0,0,1,1,5
주식회사 코스코이,0,0,0,1,1
주식회사모비데이즈,0,0,0,1,1
주식회사와탭랩스,0,0,2,1,1
주식회사위즈페이스,0,0,0,1,1
주식회사소프트원,0,0,2,1,1
주식회사컬처메이커스,0,0,1,1,1
주식회사스타일쉐어,3,3,6,1,1
주식회사티오리한국,0,0,0,1,1
주식회사매스아시아,0,1,1,1,2
주식회사봉봉,2,2,2,1,5
주식회사렌딧,0,0,0,1,2
주식회사넥스트매치,0,0,1,1,1
주식회사엠시큐어,0,0,0,1,0
주식회사케어랩스,0,0,1,1,4
주식회사지니웍스,1,1,2,1,0
주식회사버즈니,0,0,5,1,5
주식회사셀메이트,1,0,2,1,3
주식회사모프인터랙티브,1,1,2,1,1
주식회사스캐터랩,3,0,3,1,1
주식회사헬프미,0,0,2,1,2
케이웨더(주),0,0,0,1,2
코인원,0,0,2,1,4
크리니티(주),0,0,0,1,1
크로키닷컴(주),0,0,3,1,2
테이블매니저(주),1,1,2,1,3
티포트주식회사,0,0,0,1,1
하임시큐리티,0,0,0,1,1
(유)아키텍트그룹,1,0,1,0,0
(주)가온아이,2,2,2,0,0
(주)그루기술,0,0,0,0,0
(주)그렙,0,0,0,0,0
(주)골드넥스,0,0,0,0,0
(주)넥솔시스템,0,0,0,0,2
(주)누리미디어,0,0,1,0,0
(주)누리고,1,0,0,0,1
(주)노드,0,0,0,0,0
(주)넷스루,1,0,0,0,0
(주)넷사랑컴퓨터,0,0,0,0,1
(주)뉴데이소프트,0,0,2,0,0
(주)다비오,1,1,1,0,0
(주)다임즈,0,0,0,0,0
(주)단감소프트,0,0,0,0,0
(주)동곡기정,0,0,0,0,0
(주)더브릿지소프트,1,1,1,0,0
(주)도움이티에스,0,0,1,0,0
(주)도전하는사람들,0,0,0,0,2
(주)두루안,0,0,1,0,0
(주)디스트릭트홀딩스,0,0,0,0,1
(주)디지털존마포지점,0,0,0,0,0
(주)디지탈쉽,0,0,1,0,0
(주)디지투스,0,0,0,0,0
(주)딥핑소스,0,0,0,0,0
(주)라톤테크,0,0,1,0,0
(주)라이프사이언스테크놀로지,0,0,0,0,1
(주)레티그리드,0,0,0,0,0
(주)레디코리아,0,0,0,0,0
(주)루나소프트,0,0,0,0,0
(주)룰루랩,1,0,0,0,0
(주)리눅스데이타시스템,1,1,1,0,0
(주)리치웨어시스템즈,0,0,1,0,0
(주)마에스트로네트웍스,0,0,0,0,0
(주)매드업,0,0,0,0,0
(주)매그넘빈트,0,0,1,0,1
(주)망고플레이트,0,0,1,0,0
(주)리틀송,0,0,0,0,0
(주)마이리얼트립,0,0,1,0,1
(주)머니브레인,0,0,0,0,0
(주)로우코리아,0,0,2,0,0
(주)로앤컴퍼니,1,1,1,0,0
(주)메인라인,0,0,1,0,0
(주)메쉬코리아,0,0,0,0,1
(주)메타시스넷,0,0,0,0,0
(주)모니터랩,0,0,2,0,0
(주)모티프,1,1,1,0,0
(주)모젯,1,1,2,0,0
(주)뮤자인,0,0,0,0,0
(주)미리디,1,1,1,0,0
(주)브렉스랩,1,1,1,0,0
(주)브로드씨엔에스,0,0,0,0,0
(주)블리엔,0,0,0,0,1
(주)블루웹,0,0,0,0,0
(주)블루데이타시스템즈,0,0,0,0,0
(주)비바리퍼블리카,3,3,10,0,2
(주)비욘드테크,2,1,1,0,0
(주)비오시스템즈,0,0,0,0,1
(주)비주얼,1,1,1,0,0
(주)비전인사이드,0,0,2,0,0
(주)비케이아이티,0,0,0,0,0
(주)빛컨,0,0,0,0,0
(주)사이버텔브릿지,0,0,1,0,0
(주)사이버다임,0,0,0,0,0
(주)세넷시스템즈,0,0,1,0,0
(주)센티널테크놀로지,1,1,1,0,0
(주)센트비,0,0,0,0,0
(주)소프트파워,0,0,0,0,0
(주)소프트퓨전,0,0,0,0,0
(주)솔루게이트,0,0,0,0,0
(주)소프트보울,1,1,1,0,0
(주)스윗코리아,0,0,1,0,1
(주)스카이컴,0,0,2,0,0
(주)스윙크,0,0,0,0,1
(주)시스원,0,0,1,0,3
(주)시너젠,1,1,1,0,0
(주)시큐어원,0,0,0,0,0
(주)시큐브,1,1,5,0,0
(주)시큐레이어,0,0,0,0,0
(주)스포카 서울지점,2,2,7,0,0
(주)아스템즈,0,0,0,0,0
(주)아이엔티매니지먼트,0,0,0,0,0
(주)아이오트러스트,0,0,0,0,0
(주)아이오시스템,0,0,0,0,0
(주)써티웨어,0,0,1,0,0
(주)아이지에이웍스,1,0,2,0,0
(주)아이스크림에듀,0,0,0,0,0
(주)아이뱅크,0,0,0,0,0
(주)아이젝스,0,0,1,0,0
(주)아이퀘스트,0,0,1,0,0
(주)써브나라,1,1,2,0,0
(주)싸이크로스,0,0,1,0,0
(주)아이트립,0,0,0,0,0
(주)아임클라우드,0,0,0,0,0
(주)아틀라스랩스,0,0,0,0,0
(주)아톤,0,0,1,0,0
(주)아키드로우,0,0,0,0,0
(주)아카온,2,0,3,0,1
(주)아침소프트,1,1,1,0,0
(주)알엠소프트,1,1,0,0,0
(주)애드캡슐소프트,0,0,0,0,0
(주)어빌리티시스템즈,0,0,1,0,0
(주)어반디지털마케팅,0,0,0,0,0
(주)어니언소프트웨어,0,0,0,0,0
(주)업루트,0,0,2,0,1
(주)에스이웍스,0,0,1,0,0
(주)에스이든,0,0,0,0,0
(주)에스제이링크,0,0,0,0,0
(주)에어큐브,0,0,0,0,0
(주)에이블스토어,1,1,3,0,0
(주)에이아이더,0,0,0,0,0
(주)에이티앤에스그룹,1,1,1,0,0
(주)에프앤가이드,0,0,0,0,0
(주)에프원시큐리티,0,0,0,0,1
(주)엑스엔(XN)시스템즈,0,0,1,0,0
(주)엔씨지글로벌,1,1,1,0,0
(주)엑스트라이버,0,0,0,0,0
(주)엑스오비스,1,1,1,0,0
(주)엔티시스,1,0,1,0,0
(주)엔지스테크널러지,0,0,1,0,0
(주)엘리스,0,0,0,0,0
(주)엘앤제이테크,0,0,0,0,0
(주)엠그램,0,0,0,0,1
(주)엠앤와이즈,0,0,1,0,0
(주)엠시스텍,0,0,0,0,0
(주)엠엠벤처스,0,0,1,0,0
(주)엠엘소프트,1,1,2,0,0
(주)엠텔레텍,0,0,0,0,0
(주)여행노트앤투어,0,0,0,0,0
(주)영우씨엔아이,0,0,0,0,0
(주)왓챠,0,0,0,0,1
(주)와우소프트,0,0,0,0,0
(주)와치텍,0,0,0,0,0
(주)오엠인터랙티브,0,0,0,0,0
(주)웨딩북,1,1,1,0,0
(주)우아한형제들,4,1,4,0,1
(주)오토브레인,0,0,1,0,1
(주)우신인포텍,0,0,1,0,0
(주)웨인테크놀로지,0,0,0,0,0
(주)오제이월드,1,1,1,0,0
(주)웹티즌,1,1,5,0,0
(주)오픈놀,0,0,0,0,0
(주)위우너스,2,2,2,0,0
(주)위시켓,0,0,1,0,2
(주)위니웍스,0,0,0,0,2
(주)와임,0,0,0,0,0
(주)와그트래블,1,1,0,0,1
(주)온피아,0,0,0,0,0
(주)오너클랜,1,0,2,0,0
(주)유니온아일랜드,0,0,0,0,0
(주)유라이크코리아,0,0,0,0,0
(주)유프리즘,0,0,3,0,1
(주)유비스티,1,1,2,0,0
(주)이노티브아이엔씨,0,0,0,0,0
(주)이노지에스코리아,0,0,0,0,0
(주)유디테크,0,0,1,0,0
(주)이루다컴,0,0,0,0,0
(주)이씨오,0,0,0,0,0
(주)이스트몹,0,0,2,0,0
(주)이즈파크,0,0,1,0,0
(주)이젬코,0,0,0,0,0
(주)이음소시어스,0,0,0,0,0
(주)이지식스,2,2,7,0,0
(주)이피피엔,0,0,0,0,1
(주)인정보,0,0,0,0,0
(주)인재아이엔씨,0,0,0,0,0
(주)인젠트,0,0,0,0,0
(주)인픽스,0,0,1,0,0
(주)인피니그루,1,1,1,0,0
(주)자이닉스,1,1,1,0,0
(주)자비스앤빌런즈,0,0,0,0,0
(주)잉카인터넷,0,0,0,0,1
(주)임픽스,0,0,0,0,0
(주)제너시스템,0,0,0,0,1
(주)제스아이앤씨,1,1,1,0,0
(주)제이니스,1,1,1,0,0
(주)조은아이앤에스,0,0,4,0,0
(주)좋을,0,0,0,0,0
(주)지오소프트,0,0,1,0,0
(주)지오피아,0,0,0,0,1
(주)지인시스템,1,1,1,0,0
(주)지티커넥트,0,0,0,0,0
(주)청심아이티,1,1,1,0,0
(주)천명소프트,0,0,2,0,0
(주)캐럿솔루션즈,0,0,0,0,0
(주)케이비시스,1,0,1,0,0
(주)컴트루테크놀로지,0,0,1,0,5
(주)케이스마텍,1,1,1,0,0
(주)케이원정보통신,0,0,0,0,0
(주)콘텐츠브릿지,0,0,2,0,0
(주)콘버스,0,0,0,0,0
(주)큐센텍,0,0,0,0,0
(주)코드엠,1,1,1,0,0
(주)코드스테이츠,2,1,1,0,0
(주)코비젼,2,1,1,0,0
(주)코리아퍼스텍,1,1,1,0,0
(주)클라썸,0,0,0,0,0
(주)탈잉,0,0,0,0,0
(주)큐브피아,0,0,0,0,2
(주)크몽,0,0,0,0,0
(주)키클롭스,0,0,0,0,0
(주)코에버정보기술,1,1,1,0,0
(주)타운컴퍼니,0,0,0,0,0
(주)코글플래닛,0,0,0,0,1
(주)테크엔펀,2,2,5,0,0
(주)토마토시스템,0,0,0,0,0
(주)투믹스,0,0,0,0,0
(주)티라유텍,0,0,0,0,0
(주)티엔씨테크날로지,1,1,2,0,0
(주)파이랩테크놀로지,0,0,0,0,0
(주)파티게임즈,0,0,1,0,0
(주)팀부스터,0,0,0,0,0
(주)티앤엠테크,0,0,0,0,0
(주)포비즈코리아,0,0,0,0,0
(주)포시에스,0,0,0,0,0
(주)포스윈,2,1,4,0,0
(주)포잉,0,0,1,0,0
(주)포인트파크,0,0,1,0,0
(주)폴리큐브,0,0,0,0,0
(주)포티투마루,0,0,0,0,0
(주)프리윌린,0,0,0,0,0
(주)플래닛텍,1,0,0,0,0
(주)피알앤디컴퍼니,1,0,2,0,0
(주)피씨엔,1,1,1,0,0
(주)피타소프트,0,0,0,0,0
(주)필라웨어,0,0,2,0,3
(주)피플커넥트,0,0,0,0,2
(주)피플벤처스,0,0,1,0,0
(주)하이컴텍,0,0,0,0,1
(주)한국기업보안,0,0,0,0,0
(주)한류에이아이센터,1,1,1,0,0
(주)헬로월드,0,0,0,0,4
(주)헥슬란트,0,0,0,0,0
(주)휴먼플러스,0,0,2,0,0
(주)휴먼스케이프,0,0,0,0,0
(주)휴메카정보통신,0,0,0,0,1
(주)휴엔시스템,1,1,1,0,0
(주)휴레이포지티브,0,0,1,0,0
구우정보기술주식회사,0,0,2,0,0
그로비스인포텍,1,1,1,0,0
기분좋은커뮤니케이션,0,0,0,0,0
나인원소프트(주),0,0,0,0,0
네오그라프,0,0,2,0,0
니트로소프트(주),0,0,0,0,0
당근마켓,0,0,0,0,0
다손테크(주)(지점),1,1,1,0,0
데이터클립,0,0,4,0,0
동양네트웍스(주),0,0,0,0,0
두나무(주),1,0,7,0,4
디딤365주식회사,0,0,0,0,0
드제이,0,0,0,0,0
드림에이지이(주),0,0,0,0,0
디지털원(주),0,0,0,0,0
디지탈센스,0,0,0,0,0
라온시큐어(주),0,0,0,0,0
레드테이블,0,0,0,0,0
람다256주식회사,0,0,0,0,0
린아레나,0,0,0,0,0
리호즈(주),0,0,0,0,0
메이드인헤븐,0,0,0,0,0
메리티움(주),0,0,0,0,0
메가존클라우드(주),0,0,0,0,0
메가존(주),0,0,0,0,0
마이뮤직테이스트,0,0,0,0,0
모디엠,1,1,1,0,0
무한비트,1,1,1,0,0
미림미디어랩(주),1,1,4,0,0
벌키트리,0,0,0,0,0
번개장터(주),1,1,1,0,0
버즈빌,0,0,0,0,0
비에스지파트너스,0,0,0,0,0
비트파인더코리아,0,0,1,0,4
비브이에스(주),1,1,1,0,0
비브로스,0,0,0,0,1
빅펄주식회사,0,0,0,0,0
삼미정보시스템(주),0,0,1,0,1
사이버씨브이에스(주),0,0,0,0,0
비비트리주식회사,0,0,1,0,0
비디에스인포컴(주),0,0,1,0,0
서울이동통신(주),0,0,3,0,0
서울시스템(주),1,1,2,0,0
성민네트웍스,0,0,0,0,0
세기정보통신(주),0,0,2,0,0
쇼다운주식회사,0,0,1,0,0
솔트웨어(주),0,0,1,0,0
쉐이커미디어 주식회사,0,0,1,0,0
시지온,0,0,1,0,0
슈어소프트테크,0,0,0,0,0
슈가힐,0,0,0,0,1
슬로워크,0,0,0,0,0
스트리스,0,0,0,0,0
스트라티오코리아,0,0,0,0,0
스탠다드네트웍스주식회사,1,1,4,0,0
씨아이그룹,0,0,0,0,0
씨엠티정보통신(주),0,0,0,0,0
씨엠유니버스(주),0,0,0,0,0
아이엠씨큐브,0,0,1,0,0
아틀라스네트웍스,2,1,2,0,1
앤서시스템,0,0,0,0,0
양재미디어(주),0,0,1,0,0
에멘탈주식회사,0,0,0,0,0
에이케이티공간정보,0,0,0,0,0
에프엔에스벨류,0,0,0,0,0
엑세스(주),0,0,3,0,0
엔시온,0,0,1,0,1
엘더트리주식회사,0,0,0,0,0
엘에스웨어(주),1,1,2,0,0
엠아이큐브솔루션주식회사,0,0,0,0,0
엠포플러스(주),0,0,0,0,0
오드원게임즈,1,1,2,0,0
오큐브주식회사,0,0,0,0,0
웹케시(주),2,1,1,0,0
위플래닛,0,0,0,0,0
유니원아이앤씨(주),0,0,0,0,1
유플리트주식회사,0,0,1,0,0
유디니주식회사,0,0,0,0,2
이디엄,1,1,2,0,0
이글루시큐리티,0,0,0,0,0
이비즈네트웍스,1,1,2,0,1
이아이씨엔,0,0,0,0,0
이쓰리,1,1,1,0,0
인브레인,1,1,1,0,0
인더포레스트,0,0,0,0,0
인지소프트,0,0,0,0,0
인프라소프트(주),0,0,2,0,0
인프라닉스(주),1,0,0,0,0
인포보스(주),0,0,0,0,0
정보와기술(주),1,1,2,0,0
제이비티,0,0,0,0,0
제플린엑스,0,0,0,0,0
주식회사 5민랩,3,3,7,0,1
주식회사 버킷플레이스,3,1,3,0,0
주식회사 몬스터플래닛엠,1,1,2,0,0
주식회사 마켓잇(Marketit Inc.),2,0,3,0,1
주식회사 에이쓰리시큐리티,0,0,0,0,0
주식회사 아인톱시스템,0,0,2,0,0
주식회사 아이네블루메매니지먼트,0,0,3,0,0
주식회사 엔비티,0,0,0,0,0
주식회사 집꾸미기,0,0,3,0,1
주식회사 푸른밤,1,1,1,0,0
주식회사모로코,0,0,0,0,0
주식회사모두파트너스,0,0,0,0,0
주식회사메디블록,0,0,0,0,0
주식회사배틀엔터테인먼트,0,0,1,0,0
주식회사모두의클래스,0,0,0,0,0
주식회사오픈서베이,1,0,2,0,1
주식회사모아플래닛,0,0,0,0,0
주식회사엠에이치엔씨티,0,0,0,0,0
주식회사와이키키소프트,0,0,0,0,0
주식회사올로케이션,0,0,1,0,0
주식회사유비디시전,0,0,0,0,0
주식회사유브이알,0,0,0,0,1
주식회사윌비소프트,0,0,0,0,1
주식회사윌두,0,0,0,0,0
주식회사에이에프아이,0,0,0,0,0
주식회사오픈소스컨설팅,0,0,0,0,1
주식회사이다시스템,0,0,1,0,0
주식회사라프텔,0,0,1,0,0
주식회사오윈,0,0,0,0,0
주식회사위키시큐리티,0,0,0,0,0
주식회사제이디아이앤에스,0,0,0,0,0
주식회사엔젤스윙,0,0,0,0,0
주식회사엑스바엑스,0,0,0,0,0
주식회사엑셈,0,0,0,0,0
주식회사밸런스히어로,0,0,0,0,0
주식회사앤서웍스,1,1,3,0,4
주식회사에어스메디컬,0,0,0,0,0
주식회사우리강산시스템,0,0,0,0,0
주식회사체커,0,0,0,0,0
주식회사라인웍스,0,0,0,0,0
주식회사코드브릭,0,0,0,0,0
주식회사위주,0,0,0,0,0
주식회사이포넷,0,0,0,0,1
주식회사다음소프트,0,0,0,0,0
주식회사노리코리아,0,0,1,0,1
주식회사데일리샷,0,0,0,0,0
주식회사클래스팅,0,0,0,0,0
